X,Y,OBJECTID,rb,Gradska_cetvrt,Mjesni_odbor,lokacija,Vrsta_objekta,Izvor,Izradio
15.9033879,45.6985711180001,86,8,Brezovica,Odranski Strmec ,Črnilo 3,malonogometno igralište s umjetnom travom,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
16.1309571250001,45.8843969120001,87,114,Sesvete,Paruževina,Paruževinska cesta 34,sportsko igralište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
16.058938536,45.774200971,88,72,Peščenica - Žitnjak,Petruševec,I. Petruševec III. odvojak ,"dječje igralište, sportsko igralište","Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
16.048118887,45.7787856750001,89,73,Peščenica - Žitnjak,Petruševec,Novi Petruševec II. odvojak,"dječje igralište, sportsko igralište","Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
15.830985135,45.821117648,90,89,Podsused - Vrapče,Podsused,"Stari grad, Susedgrad",vježbalište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
16.0634251000001,45.8315576970001,91,50,Gornja Dubrava,Poljanice,Klin 19,boćalište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
16.07090736,45.831222106,92,49,Gornja Dubrava,Poljanice,"III. Poljanice, sjeverno od k.br. 9",boćalište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
15.9361786900001,45.7995307,93,151,Trešnjevka - sjever,Pongračevo,"Fallerovo šetalište 35, 37, 39","dječje igralište, boćalište,  vježbalište za odrasle","Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
15.936275973,45.799024235,94,152,Trešnjevka - sjever,Pongračevo,Fallerovo šetalište 39,vježbalište za odrasle,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
16.1385196090001,45.8498939460001,95,115,Sesvete,Popovec,Strossmayerov trg 1,sportsko i dječje igralište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
